code,title,points_r1_2021,points_r1_2021_info,points_r1_2020,points_r1_2020_info,points_r1_2019,points_r1_2019_info,points_r1_2021-2020,points_r1_2020-2019,points_r1_2021-2019,2021vs2020,2020vs2019,2021vs2019
AC120,International Business,294.0,,209.0,,269.0,,85.0,-60.0,25.0,Increase,Decrease,Increase
AC137,Liberal Arts,271.0,,252.0,,275.0,,19.0,-23.0,-4.0,Increase,Decrease,Decrease
AD101,First Year Art and Design (Common Entry portfolio),554.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AD102,Graphic Design and Moving Image Design (portfolio),538.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AD103,Textile and Surface Design and Jewellery and Objec,505.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AD202,Education and Design or Fine Art (Second Level Tea,591.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AD204,Fine Art (portfolio),514.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AD211,Fashion Design (portfolio),760.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AD212,Product Design (portfolio),413.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AD215,Visual Culture,337.0,,377.0,,338.0,,-40.0,39.0,-1.0,Decrease,Increase,Decrease
AD217,Illustration (portfolio),738.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AD222,Interaction Design (portfolio),444.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AL801,Software Design for Virtual Reality and Gaming,300.0,,303.0,,328.0,,-3.0,-25.0,-28.0,Decrease,Decrease,Decrease
AL802,Software Design in Artificial Intelligence for Clo,313.0,,332.0,,306.0,,-19.0,26.0,7.0,Decrease,Increase,Increase
AL803,Software Design for Mobile Apps and Connected Devi,350.0,,337.0,,337.0,,13.0,0.0,13.0,Increase,No Change,Increase
AL805,Computer Engineering for Network Infrastructure,321.0,,333.0,,442.0,,-12.0,-109.0,-121.0,Decrease,Decrease,Decrease
AL810,Quantity Surveying,328.0,,319.0,,349.0,,9.0,-30.0,-21.0,Increase,Decrease,Decrease
AL811,Civil Engineering,,,320.0,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AL820,Mechanical and Polymer Engineering,327.0,,308.0,,358.0,,19.0,-50.0,-31.0,Increase,Decrease,Decrease
AL830,General Nursing,451.0,Randomly Selected,442.0,,429.0,,9.0,13.0,22.0,Increase,Increase,Increase
AL832,Mental Health Nursing,440.0,Randomly Selected,387.0,,403.0,,53.0,-16.0,37.0,Increase,Decrease,Increase
AL835,Pharmacology,356.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AL836,Nutrition and Health Science,346.0,,334.0,,383.0,,12.0,-49.0,-37.0,Increase,Decrease,Decrease
AL837,Sports Science with Exercise Physiology,357.0,,351.0,,392.0,,6.0,-41.0,-35.0,Increase,Decrease,Decrease
AL838,Biotechnology,324.0,,307.0,,372.0,,17.0,-65.0,-48.0,Increase,Decrease,Decrease
AL839,Microbiology,325.0,,325.0,,371.0,,0.0,-46.0,-46.0,No Change,Decrease,Decrease
AL840,Pharmaceutical Sciences,346.0,,347.0,,411.0,,-1.0,-64.0,-65.0,Decrease,Decrease,Decrease
AL841,Athletic and Rehabilitation Therapy,477.0,,430.0,,430.0,,47.0,0.0,47.0,Increase,No Change,Increase
AL842,Bioveterinary Science,338.0,,313.0,,366.0,,25.0,-53.0,-28.0,Increase,Decrease,Decrease
AL843,Physical Activity and Health Science,306.0,,306.0,,330.0,,0.0,-24.0,-24.0,No Change,Decrease,Decrease
AL849,Culinary Entrepreneurship,297.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AL850,Business,309.0,,309.0,,356.0,,0.0,-47.0,-47.0,No Change,Decrease,Decrease
AL851,Business and Law,302.0,,295.0,,341.0,,7.0,-46.0,-39.0,Increase,Decrease,Decrease
AL852,Accounting,336.0,,309.0,,346.0,,27.0,-37.0,-10.0,Increase,Decrease,Decrease
AL853,Accounting and Law,,,,,320.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AL854,Sport Management (with international placement),300.0,,302.0,,,,-2.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
AL855,Hospitality Management (with international placeme,309.0,,308.0,,357.0,,1.0,-49.0,-48.0,Increase,Decrease,Decrease
AL857,Digital Marketing,304.0,,304.0,,360.0,,0.0,-56.0,-56.0,No Change,Decrease,Decrease
AL859,International Business,308.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
AL860,Social Care Practice,301.0,,300.0,,338.0,,1.0,-38.0,-37.0,Increase,Decrease,Decrease
AL861,Animation and Illustration (portfolio),575.0,Test/Portfolio,578.0,,899.0,Test/Portfolio,-3.0,-321.0,-324.0,Decrease,Decrease,Decrease
AL863,Graphic and Digital Design (portfolio),747.0,Test/Portfolio,781.0,,898.0,Test/Portfolio,-34.0,-117.0,-151.0,Decrease,Decrease,Decrease
AL864,Early Years Care and Education,306.0,,307.0,,348.0,,-1.0,-41.0,-42.0,Decrease,Decrease,Decrease
AL870,Applied Psychology,484.0,Randomly Selected,418.0,,445.0,,66.0,-27.0,39.0,Increase,Decrease,Increase
AS001,Education  Home Economics and Biology - with concu,542.0,,510.0,,497.0,Randomly Selected,32.0,13.0,45.0,Increase,Increase,Increase
AS002,Education  Home Economics and Religious Ed - with,464.0,,441.0,,433.0,Randomly Selected,23.0,8.0,31.0,Increase,Increase,Increase
AS003,Education  Home Economics and Irish - with concurr,463.0,Randomly Selected,440.0,,457.0,,23.0,-17.0,6.0,Increase,Decrease,Increase
AS051,Nutrition  Food and Business Management,378.0,,328.0,,399.0,,50.0,-71.0,-21.0,Increase,Decrease,Decrease
AS054,Home Economics,440.0,Randomly Selected,408.0,,401.0,,32.0,7.0,39.0,Increase,Increase,Increase
AS110,General Nursing,440.0,Randomly Selected,419.0,,409.0,Randomly Selected,21.0,10.0,31.0,Increase,Increase,Increase
AS130,Intellectual Disability Nursing,387.0,,336.0,,338.0,,51.0,-2.0,49.0,Increase,Decrease,Increase
BN101,Business,,,,,289.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN103,Business and Information Technology,,,,,290.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN104,Computing (Information Technology),,,,,293.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN107,Applied Social Studies in Social Care,,,,,328.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN108,Engineering (Common Entry with Award options),,,,,318.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN109,Business (Common Entry with Award options),,,,,279.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN110,International Business,,,,,308.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN111,Sports Management and Coaching,,,,,298.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN112,Creative Digital Media,,,,,329.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN113,Horticulture,,,,,321.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN114,Accounting and Finance,,,,,332.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN115,Community and Youth Development,,,,,298.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN117,Computer Engineering in Mobile Systems,,,,,311.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN118,Early Childhood Care and Education,,,,,320.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN119,Digital Marketing,,,,,308.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN120,Digital Forensics and Cyber Security,,,,,326.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN121,Mechatronic Engineering,,,,,340.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BN123,"Design,Technology and Innovation",,,,,318.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
BY001,Business,210.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
CI101,Counselling and Psychotherapy (Limerick),,,,,328.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
CI110,Counselling and Psychotherapy,292.0,,310.0,,,,-18.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
CI111,Counselling and Psychotherapy with Addiction Studi,290.0,,301.0,,,,-11.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
CI112,Counselling and Psychotherapy with Youth Studies,325.0,,311.0,,,,14.0,,,Increase,Course Ran For One Year,Course Ran For One Year
CK101,Arts - 3 years,300.0,,300.0,,368.0,,0.0,-68.0,-68.0,No Change,Decrease,Decrease
CK102,Social Science,434.0,,412.0,,431.0,,22.0,-19.0,3.0,Increase,Decrease,Increase
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339.0,Test/Portfolio,302.0,,409.0,Test/Portfolio,37.0,-107.0,-70.0,Increase,Decrease,Decrease
CK105,Film and Screen Media - 3 years or 4 years (Intern,421.0,,368.0,,442.0,,53.0,-74.0,-21.0,Increase,Decrease,Decrease
CK107,Geographical and Archaeological Sciences - 3 or 4,312.0,,328.0,,388.0,,-16.0,-60.0,-76.0,Decrease,Decrease,Decrease
CK108,Arts International - 4 years,440.0,Randomly Selected,401.0,,466.0,,39.0,-65.0,-26.0,Increase,Decrease,Decrease
CK109,English - 3 years or 4 years (International Pathwa,367.0,,318.0,,423.0,,49.0,-105.0,-56.0,Increase,Decrease,Decrease
CK110,World Languages,488.0,,452.0,,506.0,,36.0,-54.0,-18.0,Increase,Decrease,Decrease
CK111,Early Years and Childhood Studies,409.0,,419.0,,429.0,,-10.0,-10.0,-20.0,Decrease,Decrease,Decrease
CK112,Theatre and Performative Practices - 3 or 4 years,371.0,Test/Portfolio,330.0,,470.0,Test/Portfolio,41.0,-140.0,-99.0,Increase,Decrease,Decrease
CK113,Criminology - 3 years or 4 years (International Pa,464.0,,423.0,,430.0,,41.0,-7.0,34.0,Increase,Decrease,Increase
CK114,Social Science (Youth and Community Work),,Test/Portfolio,,,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
CK115,Social Work - Mature Applicants only,,,,,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
CK116,Sports Studies and Physical Education,,,,,520.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347.0,,336.0,,361.0,,11.0,-25.0,-14.0,Increase,Decrease,Decrease
CK120,Applied Psychology,544.0,,533.0,,532.0,,11.0,1.0,12.0,Increase,Increase,Increase
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499.0,,466.0,,466.0,,33.0,0.0,33.0,Increase,No Change,Increase
CK122,Government and Political Science,399.0,,337.0,,410.0,,62.0,-73.0,-11.0,Increase,Decrease,Decrease
CK123,Anthropology,308.0,,308.0,,,,0.0,,,No Change,Course Ran For One Year,Course Ran For One Year
CK124,Education - Gaeilge,473.0,,463.0,,,,10.0,,,Increase,Course Ran For One Year,Course Ran For One Year
CK125,Sports Studies and Physical Education,564.0,,510.0,,,,54.0,,,Increase,Course Ran For One Year,Course Ran For One Year
CK201,Commerce,500.0,,477.0,,489.0,Randomly Selected,23.0,-12.0,11.0,Increase,Decrease,Increase
CK202,Accounting,553.0,,509.0,,506.0,,44.0,3.0,47.0,Increase,Increase,Increase
CK203,Business Information Systems,455.0,,430.0,,444.0,,25.0,-14.0,11.0,Increase,Decrease,Increase
CK204,Finance,566.0,Randomly Selected,556.0,,555.0,,10.0,1.0,11.0,Increase,Increase,Increase
CK205,Commerce (International) with French,465.0,,445.0,,473.0,,20.0,-28.0,-8.0,Increase,Decrease,Decrease
CK206,Commerce (International) with German,466.0,,420.0,,446.0,,46.0,-26.0,20.0,Increase,Decrease,Increase
CK207,Commerce (International) with Italian,423.0,,388.0,,425.0,,35.0,-37.0,-2.0,Increase,Decrease,Decrease
CK208,Commerce (International) with Hispanic Studies,488.0,,402.0,,455.0,,86.0,-53.0,33.0,Increase,Decrease,Increase
