,code,title,points_r1,points_r2,points_r1_info,points_r2_info
0,AL801,Software Design with Virtual Reality and Gaming,328.0,328.0,,
1,AL802,Software Design with Cloud Computing,306.0,306.0,,
2,AL803,Software Design with Mobile Apps and Connected Devices,337.0,337.0,,
3,AL805,Network Management and Cloud Infrastructure,442.0,442.0,,
4,AL810,Quantity Surveying,349.0,349.0,,
5,AL820,Mechanical and Polymer Engineering,358.0,358.0,,
6,AL830,General Nursing,429.0,429.0,,
7,AL832,Psychiatric Nursing,403.0,403.0,,
8,AL836,Nutrition and Health Science,383.0,383.0,,
9,AL837,Sports Science with Exercise Physiology,392.0,392.0,,
10,AL838,Biotechnology,372.0,372.0,,
11,AL839,Microbiology,371.0,371.0,,
12,AL840,Pharmaceutical Sciences,411.0,411.0,,
13,AL841,Athletic and Rehabilitation Therapy,430.0,430.0,,
14,AL842,Bioveterinary Science,366.0,366.0,,
15,AL843,Physical Activity and Health Science,330.0,330.0,,
16,AL850,Business,356.0,356.0,,
17,AL851,Business and Law,341.0,341.0,,
18,AL852,Accounting (with optional placement),346.0,346.0,,
19,AL853,Accounting and Law,320.0,320.0,,
20,AL855,Hospitality Management (with International placement),357.0,357.0,,
21,AL857,Digital Marketing,360.0,360.0,,
22,AL860,Social Care Practice,338.0,338.0,,
23,AL861,Animation and Illustration (portfolio),899.0,899.0,Test/Portfolio,Test/Portfolio
24,AL863,Graphic and Digital Design (portfolio),898.0,898.0,Test/Portfolio,Test/Portfolio
25,AL864,Early Years Care and Education,348.0,348.0,,
26,AL870,Applied Psychology,445.0,445.0,,
27,CW018,"Business (options, Wexford)",349.0,349.0,,
28,CW028,Early Childhood Education and Care (Wexford),308.0,308.0,,
29,CW038,"Art (portfolio, Wexford)",700.0,700.0,Test/Portfolio,Test/Portfolio
30,CW058,Tourism and Event Management (Wexford),262.0,262.0,,
31,CW068,Applied Social Studies - Professional Social Care (Wexford),280.0,280.0,,
32,CW078,Sustainable Farm Management and Agribusiness (Wexford),320.0,320.0,,
33,CW088,Visual Communications and Design (Wexford),345.0,345.0,,
34,CW108,Science (options),326.0,326.0,,
35,CW128,Brewing and Distilling,298.0,298.0,,
36,CW178,Sport Science (options),424.0,424.0,,
37,CW188,Sport Rehabilitation and Athletic Therapy,473.0,473.0,,
38,CW208,Computer Games Development,338.0,338.0,,
39,CW238,Software Development,343.0,343.0,,
40,CW248,Information Technology Management,357.0,357.0,,
41,CW258,Cybercrime and IT Security,328.0,328.0,,
42,CW268,Computing in Interactive Digital Art and Design,321.0,321.0,,
43,CW438,Construction (options),308.0,308.0,,
44,CW468,Architectural Technology,290.0,290.0,,
45,CW478,Civil Engineering,383.0,383.0,,
46,CW548,Mechanical Engineering,351.0,351.0,,
47,CW558,Electronic Systems,338.0,338.0,,
48,CW568,Aerospace Engineering,422.0,422.0,,
49,CW578,TV and Media Production,361.0,361.0,,
50,CW708,Law - LLB,328.0,328.0,,
51,CW728,Product Design Innovation,355.0,355.0,,
52,CW748,Early Childhood Education and Care,338.0,338.0,,
53,CW758,Applied Social Studies - Professional Social Care,319.0,319.0,,
54,CW808,Media and Public Relations,307.0,307.0,,
55,CW848,Digital Marketing with Analytics,307.0,307.0,,
56,CW858,"Sports Management and Coaching (options, portfolio)",700.0,700.0,Test/Portfolio,Test/Portfolio
57,CW908,Business (options),307.0,307.0,,
58,CW938,Business with Law,288.0,288.0,,
59,CW948,Accounting,408.0,408.0,,
60,PC405,"Social, Political and Community Studies",296.0,296.0,,
61,PC410,Arts and Humanities (fulfils Teaching Council requirements),289.0,289.0,,
62,PC411,English and History (fulfils Teaching Council requirements),289.0,289.0,,
63,CR105,Chemical and Biopharmaceutical Engineering,498.0,498.0,,
64,CR106,Software Development,393.0,393.0,,
65,CR108,Mechanical Engineering,487.0,487.0,,
66,CR109,Structural Engineering,467.0,467.0,,
67,CR110,Automotive Business Management and Technology,347.0,347.0,,
68,CR112,Creative Digital Media,389.0,389.0,,
69,CR116,Computer Systems,381.0,381.0,,
70,CR121,Music at CIT Cork School of Music,1052.0,1052.0,Test/Portfolio,Test/Portfolio
71,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1021.0,1021.0,Test/Portfolio,Test/Portfolio
72,CR126,Popular Music: Drums at CIT Cork School of Music,1043.0,1043.0,Test/Portfolio,Test/Portfolio
73,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,761.0,761.0,Test/Portfolio,Test/Portfolio
74,CR128,Popular Music: Keyboards at CIT Cork School of Music,1009.0,1009.0,Test/Portfolio,Test/Portfolio
75,CR129,Popular Music: Voice at CIT Cork School of Music,927.0,927.0,Test/Portfolio,Test/Portfolio
76,CR130,Musical Theatre,600.0,600.0,Test/Portfolio,Test/Portfolio
77,CR150,Business Information Systems,371.0,371.0,,
78,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979.0,979.0,Test/Portfolio,Test/Portfolio
79,CR220,Fine Art at CIT Crawford College of Art and Design,819.0,819.0,Test/Portfolio,Test/Portfolio
80,CR225,Photography with New Media,920.0,920.0,Test/Portfolio,Test/Portfolio
81,CR305,Physical Sciences (Common Entry),309.0,309.0,,
82,CR310,IT Management,317.0,317.0,,
83,CR320,Biomedical Science (Offered jointly by CIT and UCC),556.0,556.0,,
84,CR325,Pharmaceutical Biotechnology,422.0,422.0,,
85,CR333,Nutrition and Health Science,393.0,393.0,,
86,CR335,Biological Sciences (Common Entry),419.0,419.0,,
87,CR340,Analytical Chemistry with Quality Assurance,315.0,315.0,,
88,CR360,Instrument Engineering,329.0,329.0,,
89,CR365,Environmental Science and Sustainable Technology,362.0,362.0,,
90,CR370,Agri-Biosciences,431.0,431.0,,
91,CR400,Accounting,389.0,389.0,,
92,CR420,Marketing,329.0,329.0,,
93,CR425,International Business with Language,392.0,392.0,,
94,CR500,Engineering (Common Entry),424.0,424.0,,
95,CR510,Sustainable Energy Engineering,343.0,343.0,,
96,CR520,Biomedical Engineering,477.0,477.0,,
97,CR560,Architectural Technology,332.0,332.0,,
98,CR565,Interior Architecture,390.0,390.0,,
99,CR570,Quantity Surveying,342.0,342.0,,
100,CR572,Construction Management,300.0,300.0,,
101,CR580,Electrical Engineering,374.0,374.0,,
102,CR590,Electronic Engineering,411.0,411.0,,
103,CR600,Visual Communications,888.0,888.0,Test/Portfolio,Test/Portfolio
104,CR660,Tourism Management,290.0,290.0,,
105,CR700,Theatre and Drama Studies at CIT Cork School of Music,906.0,906.0,Test/Portfolio,Test/Portfolio
106,CK101,Arts - 3 years,368.0,368.0,,
107,CK102,Social Science,431.0,431.0,,
108,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),409.0,409.0,Test/Portfolio,Test/Portfolio
109,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),442.0,442.0,,
110,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),388.0,388.0,,
111,CK108,Arts International - 4 years,466.0,466.0,,
112,CK109,English - 3 years or 4 years (International Pathway),423.0,423.0,,
113,CK110,World Languages,506.0,506.0,,
114,CK111,Early Years and Childhood Studies,429.0,429.0,,
115,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),470.0,470.0,Test/Portfolio,Test/Portfolio
116,CK113,Criminology - 3 years or 4 years (International Pathway),430.0,430.0,,
117,CK114,Social Science (Youth and Community Work) - 3 years,,,Test/Portfolio,Test/Portfolio
118,CK115,Social Work - Mature Applicants only,,,Test/Portfolio,Test/Portfolio
119,CK116,Sports Studies and Physical Education,520.0,520.0,,
120,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),361.0,361.0,,
121,CK120,Applied Psychology,532.0,532.0,,
122,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466.0,466.0,,
123,CK122,Government and Political Science,410.0,410.0,,
124,CK201,Commerce,489.0,489.0,Randomly Selected,Randomly Selected
125,CK202,Accounting,506.0,506.0,,
126,CK203,Business Information Systems,444.0,444.0,,
127,CK204,Finance,555.0,555.0,,
128,CK205,Commerce (International) with French,473.0,473.0,,
129,CK206,Commerce (International) with German,446.0,446.0,,
130,CK207,Commerce (International) with Italian,425.0,425.0,,
131,CK208,Commerce (International) with Hispanic Studies,455.0,455.0,,
132,CK209,Commerce (International) with Irish,528.0,528.0,,
133,CK211,Commerce (International) with Chinese Studies,420.0,420.0,,
134,CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),429.0,429.0,,
135,CK301,Law (Pathways) -  3 or 4 years,519.0,519.0,,
136,CK302,Law and French,531.0,531.0,,
137,CK304,Law and Irish,510.0,510.0,,
138,CK307,Law and Business,554.0,554.0,,
139,CK401,Computer Science,456.0,456.0,,
140,CK402,Biological and Chemical Sciences,520.0,520.0,,
141,CK404,"Biological, Earth and Environmental Sciences",451.0,451.0,,
142,CK405,Genetics,496.0,496.0,,
143,CK406,Chemical Sciences,488.0,488.0,,
144,CK407,Mathematical Sciences,578.0,578.0,,
145,CK408,Physics and Astrophysics,566.0,566.0,,
146,CK409,Industrial Physics (offered jointly by UCC and CIT),532.0,532.0,,
147,CK411,Data Science and Analytics,542.0,542.0,,
148,CK412,Agricultural Science,509.0,509.0,,
149,CK502,Food Marketing and Entrepreneurship,456.0,456.0,,
150,CK504,Nutritional Sciences,509.0,509.0,,
151,CK505,Food Science,477.0,477.0,,
152,CK506,International Development and Food Policy,410.0,410.0,,
153,CK600,Engineering,532.0,532.0,,
154,CK606,Architecture (offered jointly by UCC and CIT),496.0,496.0,,
155,CK701,Medicine (Undergraduate Entry - HPAT required),740.0,740.0,Test/Portfolio,Test/Portfolio
156,CK702,Dentistry,613.0,613.0,,
157,CK703,Pharmacy,589.0,589.0,,
158,CK704,Occupational Therapy,554.0,554.0,Randomly Selected,Randomly Selected
159,CK705,Speech and Language Therapy,529.0,529.0,,
160,CK706,Public Health Sciences,451.0,451.0,,
161,CK707,Medical and Health Sciences,543.0,543.0,Randomly Selected,Randomly Selected
162,CK710,General Nursing,466.0,466.0,,
163,CK712,Children`s and General Nursing (Integrated),520.0,520.0,,
164,CK720,Mental Health Nursing,429.0,429.0,,
165,CK730,Intellectual Disability Nursing,388.0,388.0,,
166,CK740,Midwifery,474.0,474.0,,
167,CK791,Medicine  - Graduate Entry (GAMSAT required),59.0,59.0,Randomly Selected,Randomly Selected
168,AC120,International Business,269.0,269.0,,
169,AC137,Liberal Arts,275.0,275.0,,
170,CT125,Information Technology,280.0,280.0,,
171,CM001,Education - Primary Teaching,462.0,462.0,Randomly Selected,Randomly Selected
172,CM002,Education - Primary Teaching - Gaeltacht Applicants,440.0,440.0,Test/Portfolio,Test/Portfolio
173,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,506.0,506.0,Test/Portfolio,Test/Portfolio
174,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),569.0,569.0,Test/Portfolio,Test/Portfolio
175,CM010,Education Studies,373.0,373.0,,
176,CM020,Early Childhood Education,363.0,363.0,,
177,DB500,Computing,320.0,320.0,,
178,DB501,Computing (Cloud Computing),329.0,329.0,,
179,DB502,Computing (Data Analytics and Big Data),269.0,269.0,,
180,DB503,Computing (Software Development),282.0,282.0,,
181,DB504,Computing (Web and Mobile Technology),269.0,269.0,,
182,DB510,Audio Production and Music Project Management,293.0,293.0,,
183,DB512,Business Studies,301.0,301.0,,
184,DB514,Business Studies (Law),337.0,337.0,,
185,DB515,Business Studies (Human Resource Management),288.0,288.0,,
186,DB516,Financial Services,336.0,336.0,,
187,DB517,Event Management,327.0,327.0,,
188,DB518,Marketing (Digital Media),289.0,289.0,,
