,Code,Course Title,Round 1 Points,Round 2 Points,EOS Points,Mid Point
0,AC120,International Business,209.0,,209.0,280.0
1,AC137,Liberal Arts,252.0,,252.0,270.0
2,AD101,"First Year Art & Design (Common Entry,portfolio)",,,,
3,AD102,Graphic Design and Moving Image Design (portfolio),,,,
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),,,,
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",,,,
6,AD204,Fine Art (portfolio),,,,
7,AD211,Fashion Design (portfolio),,,,
8,AD212,Product Design (portfolio),,,,
9,AD215,Visual Culture,377.0,320.0,320.0,389.0
10,AD217,Illustration (portfolio),,,,
11,AD222,Interaction Design (portfolio),,,,
45,AL801,Software Design with Virtual Reality and Gaming,303.0,,303.0,367.0
46,AL802,Software Design with Artificial Intelligence for Cloud Computing,332.0,,332.0,382.0
47,AL803,Software Design with Mobile Apps and Connected Devices,337.0,,337.0,360.0
48,AL805,Computer Engineering with Network Infrastructure,333.0,,333.0,360.0
49,AL810,Quantity Surveying,319.0,,326.0,352.0
50,AL811,Civil Engineering,320.0,,320.0,432.0
51,AL820,Mechanical and Polymer Engineering,308.0,,308.0,379.0
52,AL830,General Nursing,442.0,,442.0,463.0
53,AL832,Psychiatric Nursing,387.0,384.0,384.0,399.0
54,AL836,Nutrition and Health Science,334.0,,334.0,379.0
55,AL837,Sports Science with Exercise Physiology,351.0,,351.0,384.0
56,AL838,Biotechnology,307.0,,307.0,356.0
57,AL839,Microbiology,325.0,,325.0,393.0
58,AL840,Pharmaceutical Sciences,347.0,,347.0,403.0
59,AL841,Athletic and Rehabilitation Therapy,430.0,,430.0,465.0
60,AL842,Bioveterinary Science,313.0,,313.0,383.0
61,AL843,Physical Activity and Health Science,306.0,,306.0,326.0
62,AL850,Business,309.0,,309.0,377.0
63,AL851,Business and Law,295.0,,295.0,351.0
64,AL852,Accounting,309.0,,309.0,422.0
65,AL854,Sport Management (with international placement),302.0,299.0,299.0,338.0
66,AL855,Hospitality Management (with international placement),308.0,,308.0,347.0
67,AL857,Digital Marketing,304.0,,304.0,332.0
68,AL860,Social Care Practice,300.0,,300.0,348.0
69,AL861,Animation and Illustration (portfolio),578.0,,578.0,878.0
70,AL863,Graphic and Digital Design (portfolio),781.0,,781.0,824.0
71,AL864,Early Years Care and Education,307.0,,307.0,346.0
72,AL870,Applied Psychology,418.0,,418.0,444.0
73,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",510.0,,518.0,544.0
74,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",441.0,434.0,434.0,466.0
75,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440.0,440.0,440.0,484.0
76,AS051,"Nutrition, Food and Business Management",328.0,317.0,317.0,398.0
77,AS054,Home Economics,408.0,398.0,398.0,429.0
78,AS110,General Nursing,419.0,,419.0,431.0
79,AS130,Intellectual Disability Nursing,336.0,328.0,317.0,339.0
83,CI110,Counselling and Psychotherapy,310.0,,310.0,392.0
84,CI111,Counselling and Addiction Studies,301.0,,301.0,319.0
85,CI112,Counselling and Youth Studies,311.0,,311.0,311.0
86,CK101,Arts - 3 years,300.0,,300.0,388.0
87,CK102,Social Science,412.0,,412.0,451.0
88,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302.0,,302.0,435.0
89,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),368.0,337.0,319.0,418.0
90,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328.0,,328.0,388.0
91,CK108,Arts International - 4 years,401.0,,401.0,466.0
92,CK109,English - 3 years or 4 years (International Pathway),318.0,,318.0,441.0
93,CK110,World Languages,452.0,433.0,410.0,506.0
94,CK111,Early Years and Childhood Studies,419.0,,419.0,451.0
95,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330.0,,330.0,434.0
96,CK113,Criminology - 3 years or 4 years (International Pathway),423.0,,423.0,463.0
97,CK114,Social Science (Youth and Community Work) - 3 years,,,777.0,
98,CK115,Social Work - Mature Applicants only,,,999.0,
99,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336.0,,336.0,378.0
100,CK120,Applied Psychology,533.0,532.0,531.0,555.0
101,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466.0,,466.0,496.0
102,CK122,Government and Political Science,337.0,328.0,326.0,403.0
103,CK123,Anthropology,308.0,,308.0,410.0
104,CK124,Education - Gaeilge,463.0,462.0,452.0,495.0
105,CK125,Sports Studies and Physical Education,510.0,509.0,509.0,532.0
106,CK201,Commerce,477.0,,477.0,509.0
107,CK202,Accounting,509.0,,509.0,542.0
108,CK203,Business Information Systems,430.0,,430.0,467.0
109,CK204,Finance,556.0,,556.0,590.0
110,CK205,Commerce (International) with French,445.0,,445.0,495.0
111,CK206,Commerce (International) with German,420.0,418.0,418.0,476.0
112,CK207,Commerce (International) with Italian,388.0,,388.0,455.0
113,CK208,Commerce (International) with Hispanic Studies,402.0,,402.0,484.0
114,CK209,Commerce (International) with Irish,484.0,,484.0,531.0
115,CK211,Commerce (International) with Chinese Studies,397.0,,397.0,433.0
116,CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444.0,,444.0,473.0
117,CK213,Food Marketing and Entrepreneurship,462.0,,462.0,476.0
118,CK214,International Development,346.0,,346.0,422.0
119,CK301,Law (Pathways) -  3 or 4 years,507.0,499.0,498.0,531.0
120,CK302,Law and French,542.0,,542.0,576.0
121,CK304,Law and Irish,540.0,,540.0,565.0
122,CK307,Law and Business,556.0,,556.0,589.0
123,CK401,Computer Science,468.0,,468.0,509.0
124,CK402,Biological and Chemical Sciences,510.0,509.0,509.0,532.0
125,CK404,"Biological, Earth and Environmental Sciences",467.0,,465.0,498.0
126,CK405,Genetics,487.0,,487.0,498.0
127,CK406,Chemical Sciences,485.0,472.0,462.0,494.0
128,CK407,Mathematical Sciences,566.0,565.0,565.0,601.0
129,CK408,Physics and Astrophysics,554.0,542.0,531.0,589.0
130,CK409,Industrial Physics - Offered jointly by UCC and CIT,432.0,,432.0,499.0
131,CK411,Data Science and Analytics,510.0,,509.0,554.0
132,CK412,Agricultural Science,496.0,496.0,489.0,510.0
133,CK504,Nutritional Sciences,518.0,,517.0,554.0
134,CK505,Food Science,441.0,440.0,420.0,465.0
135,CK600,Engineering,487.0,,487.0,532.0
136,CK606,Architecture - Offered jointly by UCC and CIT,484.0,476.0,469.0,510.0
137,CK701,Medicine (Undergraduate Entry - HPAT required),731.0,,731.0,739.0
138,CK702,Dentistry,613.0,613.0,613.0,613.0
139,CK703,Pharmacy,590.0,589.0,589.0,602.0
140,CK704,Occupational Therapy,566.0,555.0,555.0,577.0
141,CK705,Speech and Language Therapy,520.0,,520.0,541.0
142,CK706,Public Health Sciences,454.0,,454.0,477.0
143,CK707,Medical and Health Sciences,542.0,541.0,541.0,555.0
144,CK710,General Nursing,454.0,,454.0,477.0
145,CK712,Children`s and General Nursing (Integrated),533.0,,533.0,553.0
146,CK720,Mental Health Nursing,423.0,,419.0,440.0
147,CK730,Intellectual Disability Nursing,419.0,411.0,400.0,433.0
148,CK740,Midwifery,484.0,,473.0,507.0
149,CK791,Medicine  - Graduate Entry (GAMSAT required),57.0,,57.0,58.0
150,CM001,Education - Primary Teaching,484.0,,484.0,487.0
151,CM002,Education - Primary Teaching - Gaeltacht Applicants,,,,
152,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528.0,,528.0,570.0
153,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494.0,,494.0,513.0
154,CM010,Education Studies,319.0,,317.0,407.0
155,CM020,Early Childhood Education,327.0,,327.0,390.0
180,CR105,Chemical and Biopharmaceutical Engineering,443.0,,443.0,532.0
181,CR106,Software Development,411.0,,411.0,463.0
182,CR108,Mechanical Engineering,434.0,,434.0,509.0
183,CR109,Structural Engineering,394.0,,394.0,423.0
184,CR110,Automotive Business Management and Technology,311.0,,311.0,362.0
185,CR112,Creative Digital Media,361.0,,361.0,430.0
186,CR116,Computer Systems,332.0,,332.0,393.0
187,CR121,Music at CIT Cork School of Music,868.0,,912.0,1078.0
188,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088.0,,1088.0,1088.0
189,CR126,Popular Music: Drums at CIT Cork School of Music,801.0,,801.0,940.0
190,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,838.0,768.0,768.0,978.0
191,CR128,Popular Music: Keyboards at CIT Cork School of Music,840.0,,840.0,881.0
192,CR129,Popular Music: Voice at CIT Cork School of Music,841.0,,841.0,966.0
