code,title,points_r2_2021,points_r2_2021_info,points_r2_2020,points_r2_2020_info,points_r2_2019,points_r2_2019_info
AC120,International Business,294.0,,,,269.0,
AC137,Liberal Arts,270.0,,,,275.0,
AD101,First Year Art and Design (Common Entry portfolio),,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD102,Graphic Design and Moving Image Design (portfolio),,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD103,Textile and Surface Design and Jewellery and Objec,,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD202,Education and Design or Fine Art (Second Level Tea,,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD204,Fine Art (portfolio),,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD211,Fashion Design (portfolio),679.0,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD212,Product Design (portfolio),,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD215,Visual Culture,300.0,,320.0,,338.0,
AD217,Illustration (portfolio),,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AD222,Interaction Design (portfolio),,Test/Portfolio,,Test/Portfolio,,Test/Portfolio
AL801,Software Design for Virtual Reality and Gaming,,,,,328.0,
AL802,Software Design in Artificial Intelligence for Clo,,,,,306.0,
AL803,Software Design for Mobile Apps and Connected Devi,,,,,337.0,
AL805,Computer Engineering for Network Infrastructure,,,,,442.0,
AL810,Quantity Surveying,,,,,349.0,
AL811,Civil Engineering,,,,,,
AL820,Mechanical and Polymer Engineering,,,,,358.0,
AL830,General Nursing,444.0,Randomly Selected,,,429.0,
AL832,Mental Health Nursing,431.0,Randomly Selected,384.0,,403.0,
AL835,Pharmacology,,,,,,
AL836,Nutrition and Health Science,,,,,383.0,
AL837,Sports Science with Exercise Physiology,,,,,392.0,
AL838,Biotechnology,,,,,372.0,
AL839,Microbiology,,,,,371.0,
AL840,Pharmaceutical Sciences,,,,,411.0,
AL841,Athletic and Rehabilitation Therapy,476.0,,,,430.0,
AL842,Bioveterinary Science,,,,,366.0,
AL843,Physical Activity and Health Science,,,,,330.0,
AL849,Culinary Entrepreneurship,,,,,,
AL850,Business,,,,,356.0,
AL851,Business and Law,,,,,341.0,
AL852,Accounting,,,,,346.0,
AL853,Accounting and Law,,,,,320.0,
AL854,Sport Management (with international placement),299.0,,299.0,,,
AL855,Hospitality Management (with international placeme,,,,,357.0,
AL857,Digital Marketing,,,,,360.0,
AL859,International Business,,,,,,
AL860,Social Care Practice,,,,,338.0,
